fid,x_coord,y_coord,sample_id,sample_name,ipen,match_name,ott_id,rank,wikidataID,unknown
1,2578416.17356091,1182436.23725665,dbgi_000025,Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',
1,2578416.17356091,1182436.23725665,dbgi_000048,Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',Oryza sativa L. 'Axios',
2,2578415.3667638,1182436.52295537,dbgi_000006,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,
2,2578415.3667638,1182436.52295537,dbgi_000091,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,Cyperus papyrus L.,
3,2578413.96995858,1182435.27503541,dbgi_000014,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,
3,2578413.96995858,1182435.27503541,dbgi_000086,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,Musa basjoo Iinuma,
4,2578413.17976017,1182434.77657161,dbgi_000029,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,
4,2578413.17976017,1182434.77657161,dbgi_000067,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,Boehmeria nivea (L.) Gaudich. s.l.,
5,2578411.94340899,1182434.29269454,dbgi_000002,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,
5,2578411.94340899,1182434.29269454,dbgi_000066,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,Derris elliptica Benth.,
